|( 1)| 0 | # | begin | S4 |     |
|( 2)| 0.4 | # begin | id | S39 |     |
|( 3)| 0.4.39 | # begin id | := | S40 |     |
|( 4)| 0.4.39.40 | # begin id := | id | S35 |     |
|( 5)| 0.4.39.40.35 | # begin id := id | ; | r14 |  41 |
|( 6)| 0.4.39.40.41 | # begin id := E | ; | r8 |   8 |
|( 7)| 0.4.8 | # begin A | ; | r3 |  44 |
|( 8)| 0.4.44 | # begin S | ; | r5 |  42 |
|( 9)| 0.4.42 | # begin L | ; | S43 |     |
|(10)| 0.4.42.43 | # begin L ; | id | r7 |   5 |
|(11)| 0.4.5 | # begin K | id | S39 |     |
|(12)| 0.4.5.39 | # begin K id | := | S40 |     |
|(13)| 0.4.5.39.40 | # begin K id := | id | S35 |     |
error step:
|(14)| 0.4.5.39.40.35 | # begin K id := id | end |  |     |
